match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8399247563,1487,1754124429,9767998.0,Nova Pulse,8629324.0,Swift Knights,17233,Destiny League,998923,1,26,23,True,22.0
8399239851,1583,1754123959,9381131.0,Uzumaki,9729268.0,Teiko,17366,Ultras Dota Pro League  2024-25,998938,1,27,13,True,22.0
8399234434,3065,1754123587,9640842.0,Team Tidebound,8291895.0,Tundra Esports,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998930,1,21,33,False,22.0
8399201146,1993,1754121598,8629324.0,Swift Knights,9767998.0,Nova Pulse,17233,Destiny League,998923,1,40,52,False,22.0
8399161635,1433,1754119004,9768243.0,Night Force,9814269.0,Riftwalkers,17233,Destiny League,998908,1,37,30,True,22.0
8399150242,1040,1754118164,9593609.0,Nethercore,9729268.0,Teiko,17366,Ultras Dota Pro League  2024-25,993205,1,32,11,True,22.0
8399138071,2621,1754117304,8599101.0,Gaimin Gladiators,9131584.0,BB Team,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998901,1,17,35,False,22.0
8399125661,1500,1754116460,9814269.0,Riftwalkers,9768243.0,Night Force,17233,Destiny League,998908,1,20,35,False,22.0
8399109530,1904,1754115278,9628721.0,Teiko,9593609.0,Nethercore,17366,Ultras Dota Pro League  2024-25,998906,1,19,30,False,22.0
8399084225,1507,1754113313,2443375.0,Foxy gaming,9768002.0,Lunar Vibes,17233,Destiny League,998893,1,27,38,False,22.0
8399069725,2438,1754113043,8599101.0,Gaimin Gladiators,9131584.0,BB Team,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998901,1,9,24,False,22.0
8399052882,1863,1754110763,9768002.0,Lunar Vibes,2443375.0,Foxy gaming,17233,Destiny League,998893,1,37,33,True,22.0
8399024357,1763,1754108331,2443375.0,Foxy gaming,9768002.0,Lunar Vibes,17233,Destiny League,998893,1,33,20,True,22.0
8399002603,3547,1754106365,8261500.0,Xtreme Gaming,7554697.0,Nigma Galaxy,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998873,1,29,17,True,22.0
8398956304,1281,1754102455,8513223.0,Farmadores de Aura,9781620.0,Tiririca Club,18203,Campeonato NEXTLEVEL,998870,3,44,16,True,22.0
8398937779,2958,1754100869,8261500.0,Xtreme Gaming,7554697.0,Nigma Galaxy,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998873,1,22,18,True,22.0
8398929117,1322,1754099980,9781620.0,Tiririca Club,8513223.0,Farmadores de Aura,18203,Campeonato NEXTLEVEL,998870,3,18,46,False,22.0
8398895725,2200,1754096686,8849817.0,ZEUS THUNDER GOD,8849833.0,VERTEX PACK,17211,Dota 2 Space League,998847,1,27,32,False,22.0
8398884083,2163,1754095481,7913999.0,Midas Club,9579022.0,Puraka esports,18203,Campeonato NEXTLEVEL,998840,3,27,10,True,22.0
8398875149,1599,1754094522,8849833.0,VERTEX PACK,8849817.0,ZEUS THUNDER GOD,17211,Dota 2 Space League,998847,1,23,13,True,22.0
8398853513,1618,1754092217,8849850.0,HELLBEAR HEROES,8936613.0,Wild Dragon,17211,Dota 2 Space League,998837,1,11,24,False,22.0
8398840116,3027,1754090879,9579022.0,Puraka esports,7913999.0,Midas Club,18203,Campeonato NEXTLEVEL,998840,3,33,31,True,22.0
8398826090,2084,1754089565,8936613.0,Wild Dragon,8849850.0,HELLBEAR HEROES,17211,Dota 2 Space League,998837,1,25,32,True,22.0
8398792619,1939,1754086814,8971308.0,x5 Gaming,9678463.0,Estar Backs,18474,Americas Convergence Series 1,998800,1,21,42,False,22.0
8398791314,2171,1754086623,8850016.0,FLYING FORTUNE,8957156.0,Silent killer,17211,Dota 2 Space League,998824,1,29,32,False,22.0
8398775394,1886,1754085396,9744330.0,Somos Nós a Justiça,8513223.0,Farmadores de Aura,18203,Campeonato NEXTLEVEL,998819,3,19,48,False,22.0
8398758106,1542,1754084207,8957156.0,Silent killer,8850016.0,FLYING FORTUNE,17211,Dota 2 Space League,998824,1,25,17,True,22.0
