iter	Logloss
0	0.6888649275
1	0.6850763497
2	0.6813985784
3	0.6777478059
4	0.6741971404
5	0.6709841716
6	0.6672890592
7	0.6636786902
8	0.6602777459
9	0.6577639018
10	0.6540096012
11	0.6509533687
12	0.6477476486
13	0.6446740283
14	0.6415181921
15	0.6381367877
16	0.6352115951
17	0.6319585281
18	0.6298106234
19	0.6272691249
20	0.6242978756
21	0.6214504578
22	0.6187483778
23	0.6166160039
24	0.6141167701
25	0.6121381677
26	0.6097545722
27	0.6070697171
28	0.6050794722
29	0.6023663982
30	0.6001008403
31	0.5977594769
32	0.5952943006
33	0.593555969
34	0.5910773223
35	0.5889488495
36	0.586932279
37	0.5849017415
38	0.5829616631
39	0.5817355269
40	0.5797442471
41	0.5785721975
42	0.5771425648
43	0.5751412192
44	0.5738329833
45	0.5723981601
46	0.5707146186
47	0.5690013188
48	0.5677691435
49	0.5658784218
50	0.5642156798
51	0.5624570718
52	0.5609714121
53	0.5592672077
54	0.5579427062
55	0.5561522783
56	0.5549516683
57	0.5535477031
58	0.5525784103
59	0.5513811747
60	0.5497110265
61	0.5485643881
62	0.5473788596
63	0.5462075122
64	0.5449416383
65	0.5433817565
66	0.5423864146
67	0.5413363568
68	0.5406778066
69	0.5397149867
70	0.5384153599
71	0.5374730322
72	0.5364245301
73	0.5355970092
74	0.5347020044
75	0.5334683735
76	0.5323169273
77	0.5315867497
78	0.5306235427
79	0.5298707317
80	0.5290223504
81	0.5280088752
82	0.5267824757
83	0.5259739251
84	0.5251914974
85	0.5243034205
86	0.5235452435
87	0.5227746039
88	0.5220882877
89	0.5216076671
90	0.5205490919
91	0.5199553995
92	0.5191278879
93	0.5181338356
94	0.5176117578
95	0.516981191
96	0.5160141738
97	0.5153197376
98	0.5145646358
99	0.5139191444
100	0.5129215593
101	0.5121746634
102	0.5113164069
103	0.5107946153
104	0.5099514035
105	0.5091813174
106	0.5083524535
107	0.50797934
108	0.5074057775
109	0.5068682721
110	0.5063625937
111	0.5056688376
112	0.5048352711
113	0.504306798
114	0.5036774285
115	0.5031525093
116	0.5026813988
117	0.502073398
118	0.5015656669
119	0.5010672585
120	0.500750554
121	0.5003520901
122	0.4997484808
123	0.4992969853
124	0.4989541513
125	0.4985061793
126	0.4981536
127	0.497600959
128	0.497197907
129	0.4968546835
130	0.4966129129
131	0.4960118618
132	0.495759022
133	0.4953999955
134	0.4952808007
135	0.494833028
136	0.4944304252
137	0.4938791806
138	0.493711241
139	0.4931395652
140	0.4927845524
141	0.4922759488
142	0.4917031398
143	0.4913364854
144	0.4909889592
145	0.4906594862
146	0.4903585633
147	0.4900857812
148	0.4897907957
149	0.4895053679
150	0.4892764602
151	0.4889052026
152	0.488725831
153	0.4884178141
154	0.4882569591
155	0.4875386551
156	0.4871326859
157	0.4868527892
158	0.4866539809
159	0.4861698991
160	0.4857191924
161	0.4855255658
162	0.4851944203
163	0.4847732785
164	0.4843556864
165	0.4839805306
166	0.483712477
167	0.4833736363
168	0.4831606187
169	0.4829904754
170	0.4827153148
171	0.4822652091
172	0.4819937959
173	0.4816285066
174	0.4814746292
175	0.4811208468
176	0.480878774
177	0.4805507171
178	0.4802287452
179	0.4798271776
180	0.4794568131
181	0.4792508487
182	0.4790207942
183	0.4788160722
184	0.4785571521
185	0.4783191087
186	0.477915992
187	0.4775740778
188	0.4773770647
189	0.4770428047
190	0.4766775315
191	0.476310949
192	0.4760957232
193	0.4758455295
194	0.4756217231
195	0.4754032383
196	0.4751645838
197	0.4748724863
198	0.4743627869
199	0.4740412595
200	0.4737167633
201	0.4735482576
202	0.473316074
203	0.4731276512
204	0.4729022576
205	0.4726584993
206	0.4724086885
207	0.4722794593
208	0.4719419973
209	0.4717387954
210	0.4715436454
